Date,XOM,APA,MSFT,AAPL,PG,COST,JPM,MS,GE,FDX
1/3/1995,9.24,7.411654,2.71,1.29,9.93,4.673435,6.81,3.915843,4.95,13.334425
1/4/1995,9.28,7.374591,2.73,1.32,9.85,4.764182,6.93,4.061411,4.95,13.306816
1/5/1995,9.3,7.226357,2.69,1.31,9.71,4.537316,7,4.032297,4.97,13.444855
1/6/1995,9.3,6.96695,2.73,1.41,9.73,4.537316,7.02,4.003183,4.94,13.417244
1/9/1995,9.22,6.892833,2.72,1.38,9.69,4.537316,7.07,3.959512,4.89,13.472461
1/10/1995,9.26,6.633428,2.75,1.47,9.81,4.537316,7,4.046855,4.93,13.444855
1/11/1995,9.2,6.744601,2.77,1.57,9.79,4.446571,7,4.017742,5,13.334425
1/12/1995,9.2,6.818721,2.76,1.52,9.89,4.446571,6.98,3.974067,4.99,13.251602
1/13/1995,9.28,6.781658,2.83,1.51,10.01,4.446571,7.21,4.032297,5.05,13.472461
1/16/1995,9.26,7.004011,2.89,1.49,10.09,4.514631,7.31,4.221538,5.11,13.610501
1/17/1995,9.36,7.115181,2.91,1.51,10.13,4.809556,7.21,4.148754,5.05,13.803753
1/18/1995,9.47,7.300475,2.93,1.53,9.91,4.991046,7.12,4.148754,5.07,13.941791
1/19/1995,9.47,7.300475,2.86,1.54,9.87,4.991046,7,4.075968,4.95,13.997004
1/20/1995,9.57,7.26342,2.78,1.43,9.83,4.900301,6.88,4.090526,4.95,13.803753
1/23/1995,9.72,7.337536,2.83,1.42,9.93,5.03642,7.02,4.017742,4.88,13.720929
1/24/1995,9.53,7.337536,2.8,1.4,9.91,5.127171,7.09,4.206983,4.89,13.582891
1/25/1995,9.57,7.485764,2.78,1.38,10.05,5.081795,7.16,4.294322,4.93,13.858963
1/26/1995,9.62,7.26342,2.7,1.33,10.09,5.104482,7.12,4.30888,4.95,13.527677
1/27/1995,9.53,7.115181,2.7,1.34,10.37,5.172541,7.28,4.454452,4.9,13.582891
1/30/1995,9.53,6.96695,2.66,1.35,10.53,4.945677,7.19,4.323437,4.97,13.693321
1/31/1995,9.53,6.892833,2.68,1.36,10.43,4.991046,7.33,4.352551,5,13.417244
2/1/1995,9.47,6.818721,2.66,1.35,10.23,5.127171,7.26,4.454452,4.97,13.417244
2/2/1995,9.41,6.818721,2.66,1.4,10.31,5.013737,7.31,4.512679,4.98,13.720929
2/3/1995,9.57,6.892833,2.71,1.36,10.41,4.991046,7.45,4.774703,5.06,13.693321
2/6/1995,9.59,7.300475,2.74,1.36,10.65,4.991046,7.47,4.701918,5.05,13.582891
2/7/1995,9.6,6.929894,2.75,1.37,10.63,4.991046,7.42,4.658249,5.05,13.50007
2/8/1995,9.64,6.96695,2.79,1.42,10.51,4.991046,7.49,4.672806,5.05,13.334425
2/9/1995,9.53,6.781658,2.79,1.47,10.49,4.945677,7.45,4.760148,5.07,13.389644
2/10/1995,9.55,6.855777,2.79,1.47,10.47,5.081795,7.49,4.672806,5.06,13.693321
2/13/1995,9.64,6.892833,2.79,1.47,10.55,4.991046,7.52,4.614578,5.11,14.217868
2/14/1995,9.7,6.855777,2.79,1.45,10.45,4.991046,7.54,4.643691,5.11,13.858963
2/15/1995,9.78,7.004011,2.74,1.43,10.45,4.991046,7.59,4.774703,5.21,13.858963
2/16/1995,9.87,6.929894,2.74,1.45,10.47,5.03642,7.47,4.745593,5.26,13.803753
2/17/1995,9.78,7.078127,2.72,1.43,10.53,4.945677,7.49,4.701918,5.21,13.803753
2/21/1995,9.87,7.1893,2.69,1.38,10.61,4.968362,7.52,4.658249,5.23,13.831362
2/22/1995,9.89,7.26342,2.77,1.37,10.53,4.922989,7.49,4.701918,5.35,13.858963
2/23/1995,9.84,7.485764,2.78,1.35,10.65,4.786868,7.52,4.716754,5.38,14.41111
2/24/1995,9.78,7.411654,2.76,1.31,10.69,4.854928,7.49,4.790454,5.32,14.217868
2/27/1995,9.82,7.411654,2.78,1.29,10.63,4.764182,7.42,4.672533,5.21,14.300688
2/28/1995,9.86,7.411654,2.84,1.33,10.65,4.945677,7.54,4.731493,5.32,14.383512
3/1/1995,9.81,7.374591,2.85,1.35,10.51,4.809556,7.52,4.834673,5.3,14.052217
3/2/1995,9.78,7.374591,2.87,1.35,10.59,4.832243,7.47,4.834673,5.2,13.997004
3/3/1995,9.76,7.26342,2.87,1.36,10.59,4.832243,7.45,4.731493,5.19,13.858963
3/6/1995,9.87,7.337536,2.9,1.34,10.65,4.854928,7.35,4.672533,5.16,13.831362
3/7/1995,9.87,7.374591,2.95,1.29,10.47,4.582692,7.16,4.657796,5.15,13.748539
3/8/1995,9.99,7.634001,3.09,1.33,10.45,4.537316,7.09,4.702014,5.21,13.693321
3/9/1995,9.95,7.522825,3.06,1.34,10.57,4.537316,7.07,4.746234,5.21,13.665714
3/10/1995,10.03,7.596941,3.09,1.33,10.77,4.718809,7.33,4.952591,5.36,13.886571
3/13/1995,10.01,7.708117,3.11,1.28,10.77,4.582692,7.31,5.026292,5.35,14.466331
3/14/1995,9.99,7.708117,3.23,1.18,10.99,4.764182,7.33,5.011552,5.38,14.770014
3/15/1995,9.95,7.596941,3.18,1.18,11.03,4.582692,7.4,5.055772,5.26,14.604367
3/16/1995,10.07,7.782229,3.16,1.19,10.97,4.809556,7.4,5.070514,5.37,14.52155
3/17/1995,10.07,7.745176,3.15,1.18,11.11,4.809556,7.4,5.055772,5.31,14.52155
3/20/1995,10.05,7.782229,3.21,1.19,11.13,4.854928,7.4,5.026292,5.3,14.659584
3/21/1995,9.95,7.782229,3.17,1.22,11.11,4.877617,7.31,4.923115,5.32,14.355909
3/22/1995,10.13,7.708117,3.2,1.28,11.11,4.854928,7.23,4.849413,5.35,14.549155
3/23/1995,10.11,7.596941,3.28,1.25,11.05,4.968362,7.28,4.849413,5.33,14.466331
3/24/1995,10.16,7.794354,3.33,1.27,11.21,5.263288,7.26,4.908374,5.38,14.493937
3/27/1995,10.24,7.842898,3.29,1.25,11.05,5.263288,7.23,4.952591,5.35,15.018481
3/28/1995,10.18,7.880421,3.32,1.16,10.99,5.444779,7.26,4.878892,5.37,15.184126
3/29/1995,10.24,7.880421,3.26,1.16,10.81,5.422092,7.23,4.834673,5.38,15.046089
3/30/1995,10.2,8.10558,3.25,1.19,10.75,5.399407,7.23,4.746234,5.36,15.15652
3/31/1995,10.28,8.180629,3.21,1.19,10.61,5.354033,7.18,4.805194,5.28,14.935658
4/3/1995,10.22,8.143105,3.16,1.2,10.57,5.444779,7.25,4.775714,5.35,14.659584
4/4/1995,10.38,8.255683,3.15,1.14,10.83,5.308662,7.34,4.819933,5.37,15.046089
4/5/1995,10.49,8.10558,3.18,1.17,10.85,5.399407,7.46,4.878892,5.37,14.990879
4/6/1995,10.3,7.880421,3.16,1.24,10.99,5.308662,7.79,5.011552,5.41,15.322165
4/7/1995,10.32,7.730317,3.14,1.24,11.01,5.354033,7.72,5.055772,5.37,15.377378
4/10/1995,10.32,7.917946,3.2,1.23,11.01,5.308662,7.7,4.996811,5.38,15.322165
4/11/1995,10.3,7.842898,3.25,1.27,10.79,5.331348,7.63,4.967332,5.36,15.377378
